gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,associate's degree,standard,none,70,75,67
female,group C,high school,standard,completed,92,96,100
female,group E,some college,standard,none,70,79,76
female,group B,some high school,free/reduced,none,35,37,36
female,group C,associate's degree,free/reduced,none,40,51,49
male,group B,some high school,free/reduced,none,64,66,54
female,group C,high school,free/reduced,none,51,64,61
female,group C,associate's degree,standard,none,82,81,85
male,group D,some college,free/reduced,none,53,52,45
male,group A,some high school,standard,none,59,57,55
female,group C,master's degree,standard,completed,46,76,74
female,group C,bachelor's degree,standard,none,73,75,72
female,group D,associate's degree,free/reduced,completed,52,63,71
female,group D,high school,standard,none,65,66,60
female,group D,associate's degree,standard,none,76,72,77
female,group D,high school,free/reduced,completed,71,82,85
female,group C,associate's degree,standard,none,87,91,93
female,group C,high school,free/reduced,completed,50,61,64
male,group C,some high school,free/reduced,none,72,72,62
male,group D,high school,standard,none,88,89,88
male,group B,associate's degree,standard,none,88,93,85
male,group A,some high school,standard,none,66,65,56
female,group C,some college,standard,none,62,79,83
female,group C,high school,standard,none,54,65,60
male,group D,some high school,standard,completed,80,73,76
female,group D,associate's degree,standard,none,37,55,53
male,group B,high school,standard,none,61,56,57
male,group B,master's degree,free/reduced,completed,86,88,85
male,group C,some college,standard,none,62,60,50
male,group C,some high school,standard,completed,83,76,76
female,group B,associate's degree,standard,none,41,55,55
male,group B,some college,standard,none,65,71,69
female,group C,some high school,standard,none,55,55,49
female,group C,some high school,standard,none,57,55,52
female,group C,master's degree,free/reduced,completed,67,76,81
female,group D,high school,free/reduced,none,47,53,52
female,group D,high school,free/reduced,none,59,73,70
male,group B,some college,standard,completed,68,66,67
male,group D,high school,standard,completed,51,54,58
female,group C,master's degree,standard,none,73,81,74
male,group B,bachelor's degree,standard,none,80,64,66
female,group C,master's degree,standard,none,83,86,83
female,group D,bachelor's degree,free/reduced,none,64,89,86
female,group D,some high school,standard,none,51,57,55
female,group E,bachelor's degree,free/reduced,none,59,66,64
female,group B,high school,standard,none,66,74,70
male,group E,associate's degree,standard,none,65,64,59
male,group D,bachelor's degree,standard,none,84,78,76
female,group C,master's degree,standard,completed,72,91,87
female,group C,high school,standard,none,39,56,52
female,group D,associate's degree,free/reduced,completed,68,90,92
male,group C,master's degree,standard,none,56,53,48
male,group D,high school,standard,none,69,69,70
male,group D,master's degree,standard,none,89,85,82
male,group C,master's degree,standard,none,71,72,69
female,group D,high school,free/reduced,none,50,63,64
male,group C,bachelor's degree,free/reduced,completed,60,61,59
male,group D,some high school,standard,completed,95,89,93
female,group C,some high school,standard,none,81,84,79
female,group C,some high school,standard,completed,76,85,85
female,group C,some college,free/reduced,none,48,60,64
male,group B,some high school,standard,none,73,70,59
male,group E,associate's degree,standard,completed,86,76,79
female,group C,associate's degree,standard,none,71,83,78
male,group A,some college,standard,none,65,63,57
female,group D,some high school,standard,none,64,70,71
male,group E,bachelor's degree,standard,none,72,50,53
male,group D,high school,free/reduced,none,57,49,51
male,group B,master's degree,standard,completed,94,90,88
male,group C,some college,standard,none,64,65,67
female,group D,master's degree,free/reduced,completed,87,100,100
female,group D,associate's degree,free/reduced,none,73,79,81
male,group E,bachelor's degree,free/reduced,none,88,85,82
female,group C,master's degree,free/reduced,none,65,72,78
female,group C,some college,free/reduced,none,34,42,49
male,group E,associate's degree,standard,none,82,71,67
female,group D,master's degree,standard,completed,86,93,95
male,group D,master's degree,standard,none,80,78,77
female,group D,high school,standard,none,70,74,73
male,group D,bachelor's degree,standard,none,78,79,74
female,group A,high school,free/reduced,completed,51,70,67
female,group B,high school,standard,none,68,72,67
male,group C,master's degree,standard,completed,71,67,66
male,group C,some college,standard,completed,74,78,75
female,group D,master's degree,standard,completed,68,71,81
female,group C,master's degree,free/reduced,completed,65,64,62
female,group D,associate's degree,free/reduced,none,37,46,49
male,group B,bachelor's degree,free/reduced,completed,73,81,72
male,group C,some college,standard,none,69,67,63
female,group B,some college,free/reduced,completed,83,90,94
male,group B,high school,standard,none,60,61,56
female,group C,some high school,standard,none,42,42,48
female,group A,associate's degree,standard,none,66,76,73
female,group E,bachelor's degree,free/reduced,none,50,64,64
male,group C,high school,standard,none,63,59,58
male,group B,some college,standard,completed,59,52,50
female,group A,high school,standard,completed,79,97,95
female,group D,some college,standard,none,73,89,83
male,group B,bachelor's degree,free/reduced,completed,88,81,86
male,group D,high school,free/reduced,none,57,54,54
